atomic number,Element,K 1s,L1 2s,L2 2p1/2,L3 2p3/2,M1 3s,M2 3p1/2,M3 3p3/2,M4 3d3/2,M5 3d5/2,N1 4s,N2 4p1/2,N3 4p3/2,N4 4d3/2,N5 4d5/2,N6 4f5/2,N7 4f7/2,O1 5s,O2 5p1/2,O3 5p3/2,O4 5d3/2,O5 5d5/2,P1 6s,P2 6p1/2,P3 6p3/2
1,H,13.60,,,,,,,,,,,,,,,,,,,,,,,
2,He,24.60,,,,,,,,,,,,,,,,,,,,,,,
3,Li,54.70,,,,,,,,,,,,,,,,,,,,,,,
4,Be,111.50,,,,,,,,,,,,,,,,,,,,,,,
5,B,188.00,,,,,,,,,,,,,,,,,,,,,,,
6,C,284.20,,,,,,,,,,,,,,,,,,,,,,,
7,N,409.90,37.30,,,,,,,,,,,,,,,,,,,,,,
8,O,543.10,41.60,,,,,,,,,,,,,,,,,,,,,,
9,F,696.70,,,,,,,,,,,,,,,,,,,,,,,
10,Ne,870.20,48.50,21.70,21.60,,,,,,,,,,,,,,,,,,,,
11,Na,1070.80,63.50,30.65,30.81,,,,,,,,,,,,,,,,,,,,
12,Mg,1303.00,88.70,49.78,49.50,,,,,,,,,,,,,,,,,,,,
13,Al,1559.60,117.80,72.95,72.55,,,,,,,,,,,,,,,,,,,,
14,Si,1839.00,149.70,99.82,99.42,,,,,,,,,,,,,,,,,,,,
15,P,2145.50,189.00,136.00,135.00,,,,,,,,,,,,,,,,,,,,
16,S,2472.00,230.90,163.60,162.50,,,,,,,,,,,,,,,,,,,,
17,Cl,2822.40,270.00,202.00,200.00,,,,,,,,,,,,,,,,,,,,
18,Ar,3205.90,326.30,250.60,248.40,29.30,15.90,15.70,,,,,,,,,,,,,,,,,
19,K,3608.40,378.60,297.30,294.60,34.80,18.30,18.30,,,,,,,,,,,,,,,,,
20,Ca,4038.50,438.40,349.70,346.20,44.30,25.40,25.40,,,,,,,,,,,,,,,,,
21,Sc,4492.00,498.00,403.60,398.70,51.10,28.30,28.30,,,,,,,,,,,,,,,,,
22,Ti,4966.00,560.90,460.20,453.80,58.70,32.60,32.60,,,,,,,,,,,,,,,,,
23,V,5465.00,626.70,519.80,512.10,66.30,37.20,37.20,,,,,,,,,,,,,,,,,
24,Cr,5989.00,696.00,583.80,574.10,74.10,42.20,42.20,,,,,,,,,,,,,,,,,
25,Mn,6539.00,769.10,649.90,638.70,82.30,47.20,47.20,,,,,,,,,,,,,,,,,
26,Fe,7112.00,844.60,719.90,706.80,91.30,52.70,52.70,,,,,,,,,,,,,,,,,
27,Co,7709.00,925.10,793.20,778.10,101.00,58.90,59.90,,,,,,,,,,,,,,,,,
28,Ni,8333.00,1008.60,870.00,852.70,110.80,68.00,66.20,,,,,,,,,,,,,,,,,
29,Cu,8979.00,1096.70,952.30,932.70,122.50,77.30,75.10,,,,,,,,,,,,,,,,,
30,Zn,9659.00,1196.20,1044.90,1021.80,139.80,91.40,88.60,10.20,10.10,,,,,,,,,,,,,,,
31,Ga,10367.00,1299.00,1143.20,1116.40,159.50,103.50,100.00,18.70,18.70,,,,,,,,,,,,,,,
32,Ge,11103.00,1414.60,1248.10,1217.00,180.10,124.90,120.80,29.80,29.20,,,,,,,,,,,,,,,
33,As,11867.00,1527.00,1359.10,1323.60,204.70,146.20,141.20,41.70,41.70,,,,,,,,,,,,,,,
34,Se,12658.00,1652.00,1474.30,1433.90,229.60,166.50,160.70,55.50,54.60,,,,,,,,,,,,,,,
35,Br,13474.00,1782.00,1596.00,1550.00,257.00,189.00,182.00,70.00,69.00,,,,,,,,,,,,,,,
36,Kr,14326.00,1921.00,1730.90,1678.40,292.80,222.20,214.40,95.00,93.80,27.50,14.10,14.10,,,,,,,,,,,,
37,Rb,15200.00,2065.00,1864.00,1804.00,326.70,248.70,239.10,113.00,112.00,30.50,16.30,15.30,,,,,,,,,,,,
38,Sr,16105.00,2216.00,2007.00,1940.00,358.70,280.30,270.00,136.00,134.20,38.90,21.30,20.10,,,,,,,,,,,,
39,Y,17038.00,2373.00,2156.00,2080.00,392.00,310.60,298.80,157.70,155.80,43.80,24.40,23.10,,,,,,,,,,,,
40,Zr,17998.00,2532.00,2307.00,2223.00,430.30,343.50,329.80,181.10,178.80,50.60,28.50,27.10,,,,,,,,,,,,
41,Nb,18986.00,2698.00,2465.00,2371.00,466.60,376.10,360.60,205.00,202.30,56.40,32.60,30.80,,,,,,,,,,,,
42,Mo,20000.00,2866.00,2625.00,2520.00,506.30,411.60,394.00,231.10,227.90,63.20,37.60,35.50,,,,,,,,,,,,
43,Tc,21044.00,3043.00,2793.00,2677.00,544.00,447.60,417.70,257.60,253.90,69.50,42.30,39.90,,,,,,,,,,,,
44,Ru,22117.00,3224.00,2967.00,2838.00,586.10,483.50,461.40,284.20,280.00,75.00,46.30,43.20,,,,,,,,,,,,
45,Rh,23220.00,3412.00,3146.00,3004.00,628.10,521.30,496.50,311.90,307.20,81.40,50.50,47.30,,,,,,,,,,,,
46,Pd,24350.00,3604.00,3330.00,3173.00,671.60,559.90,532.30,340.50,335.20,87.10,55.70,50.90,,,,,,,,,,,,
47,Ag,25514.00,3806.00,3524.00,3351.00,719.00,603.80,573.00,374.00,368.30,97.00,63.70,58.30,,,,,,,,,,,,
48,Cd,26711.00,4018.00,3727.00,3538.00,772.00,652.60,618.40,411.90,405.20,109.80,63.90,63.90,11.70,l0.7,,,,,,,,,,
49,In,27940.00,4238.00,3938.00,3730.00,827.20,703.20,665.30,451.40,443.90,122.90,73.50,73.50,17.70,16.90,,,,,,,,,,
50,Sn,29200.00,4465.00,4156.00,3929.00,884.70,756.50,714.60,493.20,484.90,137.10,83.60,83.60,24.90,23.90,,,,,,,,,,
51,Sb,30491.00,4698.00,4380.00,4132.00,946.00,812.70,766.40,537.50,528.20,153.20,95.60,95.60,33.30,32.10,,,,,,,,,,
52,Te,31814.00,4939.00,4612.00,4341.00,1006.00,870.80,820.00,583.40,573.00,169.40,103.30,103.30,41.90,40.40,,,,,,,,,,
53,I,33169.00,5188.00,4852.00,4557.00,1072.00,931.00,875.00,630.80,619.30,186.00,123.00,123.00,50.60,48.90,,,,,,,,,,
54,Xe,34561.00,5453.00,5107.00,4786.00,1148.70,1002.10,940.60,689.00,676.40,213.20,146.70,145.50,69.50,67.50,,,23.30,13.40,12.10,,,,,
55,Cs,35985.00,5714.00,5359.00,5012.00,1211.00,1071.00,1003.00,740.50,726.60,232.30,172.40,161.30,79.80,77.50,,,22.70,14.20,12.10,,,,,
56,Ba,37441.00,5989.00,5624.00,5247.00,1293.00,1137.00,1063.00,795.70,780.50,253.50,192.00,178.60,92.60,89.90,,,30.30,17.00,14.80,,,,,
57,La,38925.00,6266.00,5891.00,5483.00,1362.00,1209.00,1128.00,853.00,836.00,274.70,205.80,196.00,105.30,102.50,,,34.30,19.30,16.80,,,,,
58,Ce,40443.00,6549.00,6164.00,5723.00,1436.00,1274.00,1187.00,902.40,883.80,291.00,223.20,206.50,109.00,,0.10,0.10,37.80,19.80,17.00,,,,,
59,Pr,41991.00,6835.00,6440.00,5964.00,1511.00,1337.00,1242.00,948.30,928.80,304.50,236.30,217.60,115.10,115.10,2.00,2.00,37.40,22.30,22.30,,,,,
60,Nd,43569.00,7126.00,6722.00,6208.00,1575.00,1403.00,1297.00,1003.30,980.40,319.20,243.30,224.60,120.50,120.50,1.50,1.50,37.50,21.10,21.10,,,,,
61,Pm,45184.00,7428.00,7013.00,6459.00,,1471.00,1357.00,1052.00,1027.00,,242.00,242.00,120.00,120.00,,,,,,,,,,
62,Sm ,46834.00,7737.00,7312.00,6716.00,1723.00,1541.00,1420.00,1110.90,1083.40,347.20,265.60,247.40,129.00,129.00,5.20,5.20,37.40,21.30,21.30,,,,,
63,Eu,48519.00,8052.00,7617.00,6977.00,1800.00,1614.00,1481.00,1158.60,1127.50,360.00,284.00,257.00,133.00,127.70,0.00,0.00,32.00,22.00,22.00,,,,,
64,Gd,50239.00,8376.00,7930.00,7243.00,1881.00,1688.00,1544.00,1221.90,1189.60,378.60,286.00,271.00,,142.60,8.60,8.60,36.00,28.00,21.00,,,,,
65,Tb,51996.00,8708.00,8252.00,7514.00,1968.00,1768.00,1611.00,1276.90,1241.10,396.00,322.40,284.10,150.50,150.50,7.70,2.40,45.60,28.70,22.60,,,,,
66,Dy,53789.00,9046.00,8581.00,7790.00,2047.00,1842.00,1676.00,1333.00,1292.60,414.20,333.50,293.20,153.60,153.60,8.00,4.30,49.90,26.30,26.30,,,,,
67,Ho,55618.00,9394.00,8918.00,8071.00,2128.00,1923.00,1741.00,1392.00,1351.00,432.40,343.50,308.20,160.00,160.00,8.60,5.20,49.30,30.80,24.10,,,,,
68,Er,57486.00,9751.00,9264.00,8358.00,2207.00,2006.00,1812.00,1453.00,1409.00,449.80,366.20,320.20,167.60,167.60,,4.70,50.60,31.40,24.70,,,,,
69,Tm,59390.00,10116.00,9617.00,8648.00,2307.00,2090.00,1885.00,1515.00,1468.00,470.90,385.90,332.60,175.50,175.50,,4.60,54.70,31.80,25.00,,,,,
70,Yb,61332.00,10486.00,9978.00,8944.00,2398.00,2173.00,1950.00,1576.00,1528.00,480.50,388.70,339.70,191.20,182.40,2.50,1.30,52.00,30.30,24.10,,,,,
71,Lu,63314.00,10870.00,10349.00,9244.00,2491.00,2264.00,2024.00,1639.00,1589.00,506.80,412.40,359.20,206.10,196.30,8.90,7.50,57.30,33.60,26.70,,,,,
72,Hf,65351.00,11271.00,10739.00,9561.00,2601.00,2365.00,2108.00,1716.00,1662.00,538.00,438.20,380.70,220.00,211.50,15.90,14.20,64.20,38.00,29.90,,,,,
73,Ta,67416.00,11682.00,11136.00,9881.00,2708.00,2469.00,2194.00,1793.00,1735.00,563.40,463.40,400.90,237.90,226.40,23.50,21.60,69.70,42.20,32.70,,,,,
74,W,69525.00,12100.00,11544.00,10207.00,2820.00,2575.00,2281.00,1872.00,1809.00,594.10,490.40,423.60,255.90,243.50,33.60,31.40,75.60,45.30,36.80,,,,,
75,Re,71676.00,12527.00,11959.00,10535.00,2932.00,2682.00,2367.00,1949.00,1883.00,625.40,518.70,446.80,273.90,260.50,42.90,40.50,83.00,45.60,34.60,,,,,
76,Os,73871.00,12968.00,12385.00,10871.00,3049.00,2792.00,2457.00,2031.00,1960.00,658.20,549.10,470.70,293.10,278.50,53.40,50.70,84.00,58.00,44.50,,,,,
77,Ir,76111.00,13419.00,12824.00,11215.00,3174.00,2909.00,2551.00,2116.00,2040.00,691.10,577.80,495.80,311.90,296.30,63.80,60.80,95.20,63.00,48.00,,,,,
78,Pt,78395.00,13880.00,13273.00,11564.00,3296.00,3027.00,2645.00,2202.00,2122.00,725.40,609.10,519.40,331.60,314.60,74.50,71.20,101.70,65.30,51.70,,,,,
79,Au,80725.00,14353.00,13734.00,11919.00,3425.00,3148.00,2743.00,2291.00,2206.00,762.10,642.70,546.30,353.20,335.10,87.60,84.00,107.20,74.20,57.20,,,,,
80,Hg,83102.00,14839.00,14209.00,12284.00,3562.00,3279.00,2847.00,2385.00,2295.00,802.20,680.20,576.60,378.20,358.80,104.00,99.90,127.00,83.10,64.50,9.60,7.80,,,
81,Tl,85530.00,15347.00,14698.00,12658.00,3704.00,3416.00,2957.00,2485.00,2389.00,846.20,720.50,609.50,405.70,385.00,122.20,117.80,136.00,94.60,73.50,14.70,12.50,,,
82,Pb,88005.00,15861.00,15200.00,13035.00,3851.00,3554.00,3066.00,2586.00,2484.00,891.80,761.90,643.50,434.30,412.20,141.70,136.90,147.00,106.40,83.30,20.70,18.10,,,
83,Bi,90524.00,16388.00,15711.00,13419.00,3999.00,3696.00,3177.00,2688.00,2580.00,939.00,805.20,678.80,464.00,440.10,162.30,157.00,159.30,119.00,92.60,26.90,23.80,,,
84,Po,93105.00,16939.00,16244.00,13814.00,4149.00,3854.00,3302.00,2798.00,2683.00,995.00,851.00,705.00,500.00,473.00,184.00,184.00,177.00,132.00,104.00,31.00,31.00,,,
85,At,95730.00,17493.00,16785.00,14214.00,4317.00,4008.00,3426.00,2909.00,2787.00,1042.00,886.00,740.00,533.00,507.00,210.00,210.00,195.00,148.00,115.00,40.00,40.00,,,
86,Rn,98404.00,18049.00,17337.00,14619.00,4482.00,4159.00,3538.00,3022.00,2892.00,1097.00,929.00,768.00,567.00,541.00,238.00,238.00,214.00,164.00,127.00,48.00,48.00,26.00,,
87,Fr,101137.00,18639.00,17907.00,15031.00,4652.00,4327.00,3663.00,3136.00,3000.00,1153.00,980.00,810.00,603.00,577.00,268.00,268.00,234.00,182.00,140.00,58.00,58.00,34.00,15.00,15.00
88,Ra,103922.00,19237.00,18484.00,15444.00,4822.00,4490.00,3792.00,3248.00,3105.00,1208.00,1058.00,879.00,636.00,603.00,299.00,299.00,254.00,200.00,153.00,68.00,68.00,44.00,19.00,19.00
89,Ac,106755.00,19840.00,19083.00,15871.00,5002.00,4656.00,3909.00,3370.00,3219.00,1269.00,1080.00,890.00,675.00,639.00,319.00,319.00,272.00,215.00,167.00,80.00,80.00,,,
90,Th,109651.00,20472.00,19693.00,16300.00,5182.00,4830.00,4046.00,3491.00,3332.00,1330.00,1168.00,966.40,712.10,675.20,342.40,333.10,290.00,229.00,182.00,92.50,85.40,41.40,24.50,16.60
91,Pa,112601.00,21105.00,20314.00,16733.00,5367.00,5001.00,4174.00,3611.00,3442.00,1387.00,1224.00,1007.00,743.00,708.00,371.00,360.00,310.00,232.00,232.00,94.00,94.00,,,
92,U,115606.00,21757.00,20948.00,17166.00,5548.00,5182.00,4303.00,3728.00,3552.00,1439.00,1271.00,1043.00,778.30,736.20,388.20,377.40,321.00,257.00,192.00,102.80,94.20,43.90,26.80,16.80
